Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,9.39,2.21,0.235,879.62,68.58,2.53,0.0369,324.37,118.39,0.85,0.0072,317.97,63.54,0.32,0.005,307.92
August,1,0:30,8.43,1.97,0.2333,504.05,37.74,0.4,0.0105,337.65,89.57,0.86,0.0096,311.6,49.73,0.11,0.0023,316.77
August,1,1:00,5.12,0.81,0.1583,503.72,24.58,0.73,0.0299,383.58,59.05,0.59,0.01,319.68,37.11,0.1,0.0028,330.92
August,1,1:30,3.92,0.39,0.0983,630.83,10.21,0.41,0.0403,347.69,46.88,0.58,0.0123,314.05,45.81,1.7,0.0372,406.55
August,1,2:00,3.19,0.06,0.02,668.8,9.23,0.35,0.0383,362.38,37.11,0.88,0.0237,352.87,29.29,1.0,0.0342,393.35
August,1,2:30,3.32,0.0,0.0,763.99,9.11,0.08,0.0083,348.51,35.89,0.4,0.0112,337.77,19.1,0.26,0.0135,458.66
August,1,3:00,3.41,0.01,0.0033,376.29,7.17,0.7,0.0983,387.1,20.65,0.8,0.0389,334.24,7.02,0.77,0.1102,451.58
August,1,3:30,3.66,0.0,0.0,453.86,7.34,0.17,0.0233,310.6,18.19,0.27,0.0146,356.34,7.17,0.99,0.1375,312.38
August,1,4:00,3.08,0.01,0.002,301.81,6.41,0.02,0.0033,273.96,18.9,0.61,0.0322,411.78,6.32,0.84,0.1336,348.74
August,1,4:30,3.01,0.01,0.002,247.99,5.56,0.39,0.07,228.98,19.12,0.63,0.0328,414.13,7.15,0.82,0.114,333.86
August,1,5:00,3.67,0.09,0.0249,283.33,5.48,0.04,0.0067,612.82,21.18,0.53,0.0248,400.24,14.59,0.8,0.0551,333.52
August,1,5:30,5.13,0.13,0.0249,322.18,10.63,0.09,0.0087,284.26,21.29,0.95,0.0448,302.55,12.96,0.23,0.0179,349.25
August,1,6:00,5.5,0.91,0.1653,301.3,9.85,0.44,0.0451,287.92,35.06,0.6,0.0171,250.71,16.52,0.58,0.0349,280.04
August,1,6:30,4.59,0.66,0.1443,273.06,9.76,3.32,0.3399,311.36,58.92,0.88,0.0149,260.69,21.59,1.29,0.0596,260.94
August,1,7:00,14.34,3.38,0.2359,288.04,17.87,0.11,0.0059,284.25,110.27,1.05,0.0095,270.57,38.76,0.65,0.0168,291.63
August,1,7:30,25.89,4.42,0.1708,334.43,31.29,0.52,0.0165,317.26,161.92,1.8,0.0111,269.35,67.1,1.13,0.0169,305.65
